#,Name,Start
M1,,0:01.983
M2,,0:02.472
M3,,0:02.956
M4,,0:03.469
M5,,0:03.962
M6,,0:04.492
M7,,0:04.994
M8,,0:05.476
M9,,0:05.973
M10,,0:06.481
M11,,0:07.076
M12,,0:08.188
M13,,0:08.759
M14,,0:09.259
M15,,0:10.412
M16,,0:10.678
M17,,0:10.963
M18,,0:11.242
M19,,0:11.508
M20,,0:12.072
M21,,0:12.663
M22,,0:12.890
M23,,0:13.143
M24,,0:13.415
M25,,0:13.720
M26,,0:14.291
M27,,0:14.816
M28,,0:15.361
M29,,0:15.886
M30,,0:16.943
M31,,0:17.527
M32,,0:18.046
